,age,CompanyName,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0,9,Maruti,450000,145500,0,0,0,0,23.4,1248,74.0,190Nm@ 2000rpm,5
1,9,Skoda,370000,120000,0,0,0,1,21.14,1498,103.52,250Nm@ 1500-2500rpm,5
2,17,Honda,158000,140000,1,0,0,2,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5
3,13,Hyundai,225000,127000,0,0,0,0,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5
4,16,Maruti,130000,120000,1,0,0,0,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5
5,6,Hyundai,440000,45000,1,0,0,0,20.14,1197,81.86,113.75nm@ 4000rpm,5
6,16,Maruti,96000,175000,3,0,0,0,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5
7,22,Maruti,45000,5000,1,0,0,1,16.1,796,37.0,59Nm@ 2500rpm,4
8,12,Toyota,350000,90000,0,0,0,0,23.59,1364,67.1,170Nm@ 1800-2400rpm,5
9,10,Ford,200000,169000,0,0,0,0,20.0,1399,68.1,160Nm@ 2000rpm,5
10,9,Renault,500000,68000,0,0,0,1,19.01,1461,108.45,248Nm@ 2250rpm,5
11,18,Maruti,92000,100000,1,0,0,1,17.3,993,60.0,78Nm@ 4500rpm,5
12,14,Maruti,280000,140000,0,0,0,1,19.3,1248,73.9,190Nm@ 2000rpm,5
14,14,Maruti,180000,90000,1,0,0,1,18.9,1061,67.0,84Nm@ 3500rpm,5
15,7,Mahindra,400000,40000,1,0,0,0,18.15,1198,82.0,115Nm@ 3500-3600rpm,5
16,7,Maruti,778000,70000,0,0,0,1,24.52,1248,88.5,200Nm@ 1750rpm,7
17,11,Hyundai,500000,53000,0,0,0,1,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5
18,21,Maruti,150000,80000,1,0,0,1,19.7,796,46.3,62Nm@ 3000rpm,5
19,7,Hyundai,680000,100000,0,0,0,0,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
20,12,Mahindra,174000,100000,0,0,0,1,21.0,1461,64.1,160Nm@ 2000rpm,5
21,6,Honda,950000,50000,0,0,0,0,25.5,1498,98.6,200Nm@ 1750rpm,5
22,8,Maruti,525000,40000,0,0,0,0,26.59,1248,74.0,190Nm@ 2000rpm,5
23,11,Maruti,600000,72000,0,0,0,0,21.5,1248,88.8,200Nm@ 1750rpm,5
24,5,Tata,500000,35000,1,0,0,0,20.3,1199,83.81,114Nm@ 3500rpm,5
25,7,Maruti,575000,45000,1,0,0,0,21.4,1197,83.1,115Nm@ 4000rpm,5
26,6,Maruti,275000,28000,1,0,0,0,24.7,796,47.3,69Nm@ 3500rpm,5
27,10,Chevrolet,300000,70000,0,0,0,0,18.2,1248,73.8,172.5Nm@ 1750rpm,7
28,14,Maruti,220000,120000,1,0,0,0,18.9,1061,67.0,84Nm@ 3500rpm,5
29,5,Maruti,254999,25000,1,0,0,0,16.8,796,34.2,59Nm@ 2500rpm,8
30,6,Maruti,670000,70000,0,0,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
32,11,Maruti,150000,35000,1,0,0,1,14.0,796,35.0,6.1kgm@ 3000rpm,5
33,5,Hyundai,730000,2388,1,0,0,0,18.6,1197,81.83,114.7Nm@ 4000rpm,5
34,6,Maruti,650000,16200,0,0,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
35,4,Maruti,330000,10000,2,0,0,1,33.44,796,40.3,60Nm@ 3500rpm,4
36,4,Maruti,366000,15000,1,0,0,0,23.95,998,67.1,90Nm@ 3500rpm,5
37,4,Hyundai,1149000,5000,1,0,0,0,17.0,1591,121.3,151Nm@ 4850rpm,5
38,7,Datsun,150000,42000,1,0,0,0,20.63,1198,67.0,104Nm@ 4000rpm,5
39,12,Tata,425000,60000,0,0,0,1,13.93,2179,138.03,320Nm@ 1700-2700rpm,7
40,11,Maruti,150000,76000,1,0,0,0,16.1,796,37.0,59Nm@ 2500rpm,4
41,4,Jeep,2100000,5000,1,0,1,0,16.0,1368,160.77,250Nm@ 1750-2500rpm,5
42,5,Honda,925000,28900,1,1,0,0,17.8,1497,117.3,145Nm@ 4600rpm,5
43,10,Honda,425000,86300,1,1,0,0,16.8,1497,116.3,146Nm@ 4800rpm,5
44,5,Maruti,675000,23300,1,1,1,0,18.5,1197,83.14,115Nm@ 4000rpm,5
45,5,Maruti,819999,32600,0,1,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
46,5,Maruti,390000,10300,1,1,0,0,23.95,998,67.05,90Nm@ 3500rpm,5
47,9,Toyota,1500000,77000,0,1,0,0,12.55,2982,168.5,343Nm@ 1400-3400rpm,7
48,10,Toyota,700000,99000,0,1,0,0,12.99,2494,100.0,200Nm@ 1400-3400rpm,7
49,9,Mercedes-Benz,1450000,27800,0,1,1,1,14.8,2143,120.7,200Nm@ 1250-4000rpm,5
50,8,Honda,425000,49800,0,1,0,0,24.7,1498,98.63,200Nm@ 1750rpm,5
51,10,Mitsubishi,1090000,151000,0,1,0,0,13.5,2477,175.56,400Nm@ 2000-2500rpm,7
52,8,Honda,600000,54700,0,1,0,0,26.0,1498,98.6,200Nm@ 1750rpm,5
53,5,Maruti,850000,64000,1,1,0,0,20.65,1462,103.25,138Nm@ 4400rpm,5
54,8,Honda,525000,63000,0,1,0,0,27.3,1498,98.6,200Nm@ 1750rpm,5
55,7,Toyota,1650000,127700,0,1,1,1,11.36,2755,171.5,360Nm@ 1200-3400rpm,7
56,7,Toyota,950000,99000,0,1,0,0,12.99,2494,100.6,200Nm@ 1200-3600rpm,7
57,10,Audi,1750000,33900,0,1,1,1,17.68,1968,174.33,380Nm@ 1750-2500rpm,5
58,5,Toyota,1590000,25000,1,1,1,0,14.28,1798,138.03,173Nm@ 4000rpm,5
59,10,Audi,1689999,50000,0,1,1,0,18.53,1968,187.74,400Nm@ 1750-3000rpm,5
60,10,Mercedes-Benz,1425000,59000,0,1,1,0,14.84,2143,170.0,400Nm@ 1400-2800rpm,5
61,12,Tata,265000,120000,0,0,0,0,21.12,1248,88.8,200Nm@ 1750-3000rpm,5
62,12,Hyundai,190000,110000,1,0,0,2,20.36,1197,78.9,111.7Nm@ 4000rpm,5
63,10,Hyundai,425000,60000,0,0,0,0,21.27,1396,88.76,219.6Nm@ 1500-2750rpm,5
64,8,Maruti,630000,147000,0,0,0,1,26.59,1248,74.0,190Nm@ 2000rpm,5
65,6,Ford,600000,25000,1,0,0,2,18.16,1196,86.8,112Nm@ 4000rpm,5
66,4,Maruti,650000,30000,1,0,0,0,21.4,1197,83.1,115Nm@ 4000rpm,5
67,7,Volkswagen,540000,40000,0,0,0,0,22.0,1498,108.495,250Nm@ 1500-3000rpm,5
68,8,Honda,630000,135000,0,0,0,0,25.1,1498,98.6,200Nm@ 1750rpm,5
69,5,Maruti,448000,30000,1,0,1,0,20.51,998,67.0,90Nm@ 3500rpm,5
70,6,Volkswagen,500000,80000,0,0,0,0,21.66,1498,108.62,250Nm@ 1500-3000rpm,5
71,7,Maruti,745000,70000,0,0,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
72,4,Maruti,1025000,9850,0,0,1,0,24.3,1248,88.5,200Nm@ 1750rpm,5
73,12,Hyundai,235000,60000,1,0,0,1,20.36,1197,78.9,111.7Nm@ 4000rpm,5
74,7,Maruti,630000,70000,0,0,0,0,25.2,1248,74.0,190Nm@ 2000rpm,5
75,8,Toyota,1700000,78000,0,0,0,1,12.55,2982,168.5,343Nm@ 1400-3400rpm,7
76,10,Maruti,450000,120000,0,0,0,1,22.9,1248,74.0,190Nm@ 2000rpm,5
77,11,Maruti,450000,120000,1,0,0,1,16.02,1373,93.7,130Nm@ 4000rpm,7
79,10,Volkswagen,450000,170000,0,0,0,0,20.54,1598,103.6,250Nm@ 1500-2500rpm,5
80,7,Toyota,1200000,140000,0,0,0,0,12.99,2494,100.6,200Nm@ 1200-3600rpm,8
81,8,Ford,610000,90000,0,0,0,0,22.77,1498,98.59,205Nm@ 1750-3250rpm,5
82,7,BMW,2500000,30000,1,0,1,1,15.71,1998,189.0,280Nm@ 1350-4600rpm,5
83,6,Maruti,484999,10000,1,1,0,0,23.1,998,67.04,90Nm@ 3500rpm,5
84,7,Datsun,275000,49000,1,1,0,0,19.02,1198,67.05,104Nm@ 4000rpm,5
85,7,Maruti,315000,32000,1,1,0,0,24.7,796,47.3,69Nm@ 3500rpm,5
86,7,Maruti,275000,38000,1,1,0,0,24.7,796,47.3,69Nm@ 3500rpm,5
88,11,Hyundai,290000,28000,1,1,0,0,19.81,1086,68.05,99.04Nm@ 4500rpm,5
89,6,Maruti,280000,32000,1,1,0,0,14.0,796,35.0,6.1kgm@ 3000rpm,5
90,13,Maruti,225000,44000,3,1,0,0,26.2,998,58.2,77Nm@ 3500rpm,5
91,8,Volkswagen,455000,42000,1,1,0,0,16.47,1198,74.0,110Nm@ 3750rpm,5
92,8,Hyundai,351000,45000,1,1,0,1,19.81,1086,68.05,99.04Nm@ 4500rpm,5
93,11,Volkswagen,535000,12000,1,1,0,1,15.04,1598,103.6,153Nm@ 3800rpm,5
94,14,Maruti,175000,55500,1,1,0,0,18.2,998,67.1,90Nm@ 3500rpm,5
95,10,Hyundai,525000,61500,1,1,0,0,18.5,1197,82.85,113.7Nm@ 4000rpm,5
96,7,Maruti,600000,150000,0,0,0,0,26.59,1248,74.0,190Nm@ 2000rpm,5
97,7,Hyundai,565000,72000,1,1,1,0,19.1,1197,82.0,114Nm@ 4000rpm,5
98,15,Maruti,120000,68000,1,1,0,2,19.7,796,46.3,62Nm@ 3000rpm,5
99,6,Hyundai,725000,110000,0,0,0,0,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
100,14,Maruti,185000,77000,1,1,0,1,21.79,998,67.05,90Nm@ 3500rpm,5
101,13,Tata,200000,100000,0,0,0,1,18.8,1248,90.0,200Nm@ 1750-3000rpm,5
102,4,Maruti,615000,10000,1,0,0,0,21.21,1197,81.8,113Nm@ 4200rpm,5
103,7,Maruti,270000,100000,1,0,0,2,15.37,1196,73.0,101Nm@ 3000rpm,7
104,5,Maruti,610000,35000,1,0,0,0,21.4,1197,83.1,115Nm@ 4000rpm,5
105,9,Mahindra,625000,70000,0,0,1,1,11.79,2179,120.0,290Nm@ 1800-2800rpm,8
106,3,Ford,400000,5000,1,0,0,1,19.0,1194,94.68,120Nm@ 4250rpm,5
107,6,Hyundai,866000,37800,1,0,0,0,17.0,1591,121.3,151Nm@ 4850rpm,5
108,13,Volkswagen,700000,114000,1,0,0,0,14.3,1798,160.0,250Nm@ 1500~4500rpm,5
109,13,Tata,300000,48000,1,0,0,0,15.8,1172,65.0,96 Nm at 3000 rpm,5
110,4,Mahindra,1700000,32000,0,0,0,0,15.1,2179,155.0,360Nm@ 1750-2800rpm,7
111,7,Tata,375000,100000,0,0,0,0,19.09,1405,69.01,135Nm@ 2500rpm,5
112,10,Hyundai,522000,150000,0,0,0,1,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5
113,10,Hyundai,451999,69000,0,0,0,0,21.9,1396,88.76,219.6Nm@ 1500-2750rpm,5
114,14,Toyota,300000,100000,1,0,0,1,14.53,1798,138.1,173Nm@ 4000rpm,5
115,3,Maruti,475000,13000,1,0,0,0,21.63,998,67.04,90Nm@ 3500rpm,5
116,7,Maruti,780000,60000,0,0,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
117,6,Maruti,595000,40000,1,0,0,0,20.85,1197,83.14,115Nm@ 4000rpm,5
118,6,Maruti,440000,35000,1,0,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
120,9,Nissan,400000,70000,0,0,0,2,20.45,1461,83.8,200Nm@ 1900rpm,5
121,7,Hyundai,1140000,50000,0,0,0,0,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5
122,6,Ford,850000,76139,0,0,0,0,23.0,1498,98.96,205Nm@ 1750-3250rpm,5
123,11,Maruti,370000,175000,0,0,0,3,19.3,1248,73.9,190Nm@ 2000rpm,5
124,5,Renault,350000,25000,1,0,0,0,23.01,999,67.0,91Nm@ 4250rpm,5
125,8,Maruti,360000,40000,1,0,0,1,23.1,998,67.04,90Nm@ 3500rpm,5
126,15,Maruti,105000,65000,1,0,0,3,19.7,796,46.3,62Nm@ 3000rpm,5
127,10,Maruti,625000,90000,0,0,0,1,20.77,1248,88.76,200Nm@ 1750rpm,7
128,14,Hyundai,135000,80000,1,0,0,1,17.92,1086,62.1,96.1Nm@ 3000rpm,5
129,8,Maruti,700000,110000,0,0,0,1,20.77,1248,88.76,200Nm@ 1750rpm,7
130,4,Honda,690000,1303,1,1,0,0,17.8,1198,86.7,109Nm@ 4500rpm,5
131,5,Audi,3975000,31800,0,1,1,0,17.01,1968,188.0,400nm@ 1750-3000rpm,5
132,4,Lexus,5150000,20000,1,1,1,0,22.37,2487,214.56,202Nm@ 3600-5200rpm,5
133,6,Jaguar,3200000,45000,0,1,1,0,19.33,1999,177.0,430Nm@ 1750-2500rpm,5
134,6,Jeep,4100000,17000,1,0,1,0,9.5,3604,280.0,347Nm@ 4300rpm,5
135,4,Land,4500000,21000,0,1,1,0,12.83,1999,148.31,382nm@ 1750-2250rpm,7
136,6,Mercedes-Benz,6000000,37000,0,1,1,0,13.5,2987,254.79,620Nm@ 1600-2400rpm,5
137,5,BMW,3790000,29500,0,1,1,0,22.48,1995,187.74,400Nm@ 1750-2500rpm,5
139,4,BMW,5800000,7500,0,1,1,0,16.78,1995,190.0,400Nm@ 1750-2500rpm,5
140,5,Skoda,1864999,50000,1,1,1,0,14.67,1798,177.46,250@ 1250-5000rpm,5
141,7,Mercedes-Benz,2700000,35000,0,1,1,0,15.0,2143,204.0,500Nm@ 1600-1800rpm,5
142,4,MG,1750000,19000,1,1,1,0,13.96,1451,141.0,250Nm@ 1600-3600rpm,5
143,6,Honda,795000,41000,1,1,1,0,18.0,1497,117.6,145Nm@ 4600rpm,5
144,10,Toyota,625000,39000,1,1,1,0,14.28,1798,138.03,173Nm@ 4000rpm,5
